No,words,transliteration,chinese,example sentence
44,costly,/ˈkɒstli/,adj. 昂贵的；代价高的,the mistake was costly for the company. 这个错误让公司损失惨重。
45,unacceptable,/ˌʌnəkˈseptəbl/,adj. 不可接受的,his behavior is unacceptable. 他的行为不可接受。
46,depict,/dɪˈpɪkt/,v. 描绘；描述,the painting depicts a beautiful scene. 这幅画描绘了美丽的景色。
47,unfortunate,/ʌnˈfɔːtʃənət/,adj. 不幸的；令人遗憾的,it was an unfortunate accident. 这是一场不幸的事故。
48,commodity,/kəˈmɒdəti/,n. 商品；日用品,oil is an important commodity. 石油是重要商品。
49,internship,/ˈɪntɜːnʃɪp/,n. 实习；实习期,she did an internship in a bank. 她在银行实习。
50,agent,/ˈeɪdʒənt/,n. 代理人；代理商,he is a travel agent. 他是旅行社代理人。
51,statue,/ˈstætʃuː/,n. 雕像；塑像,there is a statue in the square. 广场上有一座雕像。
52,put in for,/pʊt ɪn fɔː(r)/,申请,he put in for a transfer. 他申请调职。
53,impurity,/ɪmˈpjʊərəti/,n. 杂质；不纯,the water contains impurities. 水中含有杂质。
54,morale,/məˈrɑːl/,n. 士气；精神面貌,the team’s morale is high. 团队士气高昂。
55,notice,/ˈnəʊtɪs/,n. 通知；注意 v. 注意到,please read the notice carefully. 请仔细阅读通知。
56,guarantee,/ˌɡærənˈtiː/,v./n. 保证；担保,we guarantee delivery on time. 我们保证准时送货。
57,cafeteria,/ˌkæfəˈtɪəriə/,n. 自助餐厅；食堂,we have lunch at the school cafeteria. 我们在学校食堂吃午饭。
58,mature,/məˈtʃʊə(r)/,adj. 成熟的 v. 成熟,he is very mature for his age. 就年龄而言他很成熟。
59,globalization,/ˌɡləʊbəlaɪˈzeɪʃn/,n. 全球化,globalization affects every country. 全球化影响每个国家。
60,unlawful,/ʌnˈlɔːfl/,adj. 非法的；不合法的,it is unlawful to sell drugs. 贩卖毒品是非法的。
61,on behalf of,/ɒn bɪˈhɑːf ɒv/,代表；为了,i speak on behalf of my colleagues. 我代表同事发言。
62,wreck,/rek/,n. 残骸；失事 v. 破坏,the ship wreck was found yesterday. 沉船残骸昨天被发现。
63,bulletin,/ˈbʊlətɪn/,n. 公告；简报,here is the latest news bulletin. 这是最新新闻简报。
64,cluster,/ˈklʌstə(r)/,n. 群；簇 v. 聚集,a cluster of stars is in the sky. 天空中有一簇星星。
65,stationery,/ˈsteɪʃənri/,n. 文具,"we sell pens, paper and other stationery. 我们售卖笔、纸等文具。"
66,perceive,/pəˈsiːv/,v. 感知；认为；理解,i perceive him as a honest man. 我认为他是个诚实的人。
67,subsequent,/ˈsʌbsɪkwənt/,adj. 随后的；后来的,subsequent events proved him wrong. 后来的事证明他错了。
68,fasten,/ˈfɑːsn/,v. 系紧；扣牢,please fasten your seat belt. 请系好安全带。
69,cardholder,/ˈkɑːdhəʊldə(r)/,n. 持卡人,the cardholder must sign the receipt. 持卡人必须在收据上签字。
70,declare,/dɪˈkleə(r)/,v. 宣布；申报,i have nothing to declare. 我没有东西要申报。
71,alert,/əˈlɜːt/,adj. 警惕的 n. 警报,please stay alert in crowded places. 在人群密集处请保持警惕。
72,sue,/suː/,v. 起诉；控告,he decided to sue the company. 他决定起诉这家公司。
73,waive,/weɪv/,v. 放弃；免除,they agreed to waive the fee. 他们同意免除费用。
74,attire,/əˈtaɪə(r)/,n. 服装；衣着,formal attire is required. 需穿正装。
75,prepaid,/ˌpriːˈpeɪd/,adj. 预付的,this is a prepaid phone card. 这是一张预付电话卡。
76,artwork,/ˈɑːtwɜːk/,n. 艺术品；插图；设计稿,the artwork is very creative. 这件设计稿很有创意。
77,clinic,/ˈklɪnɪk/,n. 诊所；门诊,she works at a dental clinic. 她在牙科诊所工作。
78,entrance,/ˈentrəns/,n. 入口；进入,the entrance is over there. 入口在那边。
79,retrieval,/rɪˈtriːvl/,n. 取回；检索；恢复,data retrieval is very fast. 数据检索速度很快。
80,treat,/triːt/,v. 对待；治疗；款待,the doctor will treat your illness. 医生会治疗你的病。
81,scholarship,/ˈskɒləʃɪp/,n. 奖学金；学问,he won a full scholarship. 他获得全额奖学金。
82,misread,/ˌmɪsˈriːd/,v. 误解；读错,i misread the instructions. 我看错了说明书。
83,blow,/bləʊ/,v. 吹；爆炸 n. 打击,wind blows through the window. 风吹过窗户。
84,lease,/liːs/,n./v. 租赁；出租,we lease the office from the owner. 我们向业主租办公室。
85,investment,/ɪnˈvestmənt/,n. 投资,he made a wise investment. 他做了明智的投资。
86,redesign,/ˌriːdɪˈzaɪn/,v./n. 重新设计,we plan to redesign the website. 我们计划重新设计网站。
87,technology,/tekˈnɒlədʒi/,n. 技术,modern technology changes our life. 现代科技改变生活。
88,nasty,/ˈnɑːsti/,adj. 令人讨厌的；恶劣的,he has a nasty temper. 他脾气很差。
89,bounce,/baʊns/,v. 弹起；反弹；（支票）退票,the ball bounced on the ground. 球在地上弹起。
90,foundation,/faʊnˈdeɪʃn/,n. 基础；基金会,the foundation of the house is strong. 房子地基很牢固。
91,friction,/ˈfrɪkʃn/,n. 摩擦；冲突,there is some friction between them. 他们之间有些矛盾。
92,option,/ˈɒpʃn/,n. 选择；选项,you have two options. 你有两个选择。
93,outcome,/ˈaʊtkʌm/,n. 结果；成果,the outcome of the meeting is good. 会议结果很好。
94,lag behind,/læɡ bɪˈhaɪnd/,落后,don’t lag behind the others. 不要落后于其他人。
95,regular,/ˈreɡjələ(r)/,adj. 定期的；常规的,he is a regular customer. 他是老顾客。
96,incline,/ɪnˈklaɪn/,v. 倾向于；倾斜,i incline to agree with you. 我倾向于同意你。
97,narrowly,/ˈnærəʊli/,adv. 勉强地；差一点,he narrowly escaped the accident. 他侥幸躲过事故。
98,quarantine,/ˈkwɒrəntiː/,n./v. 隔离,all travelers must quarantine for 7 days. 所有旅客须隔离7天。
99,increase,/ˈɪŋkriːs/,n./v. 增加；增长,the price will increase next month. 价格下月上涨。
100,excess,/ɪkˈses/,n. 过量 adj. 额外的,do not drink to excess. 不要过量饮酒。
101,complain,/kəmˈpleɪn/,v. 抱怨；投诉,customers often complain about the service. 顾客常投诉服务。
102,outreach,/ˈaʊtriːtʃ/,n./v. 外展；拓展服务,the program provides community outreach. 该项目提供社区外展服务。
103,equity,/ˈekwəti/,n. 公平；公正；资产净值,They value fairness and equity.
104,wage,/weɪdʒ/,n. 工资；报酬,His monthly wage is quite high.
105,cancel,/ˈkænsl/,v. 取消；撤销,She decided to cancel the appointment.
106,expense,/ɪkˈspens/,n. 费用；开支,Travel expense will be reimbursed.
107,advocate,/ˈædvəkət/ /ˈædvəkeɪt/,n. 倡导者 v. 提倡；主张,He advocates environmental protection.
108,especially,/ɪˈspeʃəli/,adv. 尤其；特别,"I like summer, especially July."
109,atmosphere,/ˈætməsfɪə(r)/,n. 气氛；大气,The restaurant has a nice atmosphere.
110,expected,/ɪkˈspektɪd/,adj. 预期的；预料的,The result is as expected.
111,reconcile,/ˈrekənsaɪl/,v. 调和；使和解；使一致,They tried to reconcile their differences.
112,distant,/ˈdɪstənt/,adj. 遥远的；疏远的,He lives in a distant village.
113,unauthorized,/ˌʌnˈɔːθəraɪzd/,adj. 未经授权的,Unauthorized entry is forbidden.
114,neutral,/ˈnjuːtrəl/,adj. 中立的；中性的,Switzerland is a neutral country.
115,accountant,/əˈkaʊntənt/,n. 会计师；会计,She works as an accountant.
116,pay off,/peɪ ɒf/,还清；取得成功,His hard work finally paid off.
117,strategy,/ˈstrætədʒi/,n. 策略；战略,We need a new marketing strategy.
118,express,/ɪkˈspres/,v. 表达；表示 adj. 快速的,He expressed his thanks sincerely.
119,society,/səˈsaɪəti/,n. 社会；社团,We live in a modern society.
120,hijack,/ˈhaɪdʒæk/,v. 劫持；绑架,The plane was attempted to be hijacked.
121,fluctuate,/ˈflʌktʃueɪt/,v. 波动；起伏,Prices fluctuate with the market.
122,unrestricted,/ˌʌnrɪˈstrɪktɪd/,adj. 不受限制的,You have unrestricted access to the files.
123,workforce,/ˈwɜːkfɔːs/,n. 劳动力；员工总数,The company has a skilled workforce.
124,glance at,/ɡlɑːns æt/,瞥一眼；匆匆看一眼,He glanced at his watch.
125,refreshment,/rɪˈfreʃmənt/,n. 点心；饮料；恢复活力,Refreshments are served in the hall.
126,contagious,/kənˈteɪdʒəs/,adj. 传染的；有感染力的,The disease is highly contagious.
127,suggest,/səˈdʒest/,v. 建议；暗示,I suggest you take a rest.
128,realistic,/ˌriːəˈlɪstɪk/,adj. 现实的；务实的,We must be realistic about our plan.
129,unavailable,/ˌʌnəˈveɪləbl/,adj. 无法获得的；没空的,The manager is unavailable now.
130,illusion,/ɪˈluːʒn/,n. 错觉；幻想,Love is not an illusion.
131,discard,/dɪˈskɑːd/,v. 丢弃；抛弃,Please discard the rubbish properly.
132,however,/haʊˈevə(r)/,adv. 然而；可是,"He is rich; however, he is not happy."
133,patent,/ˈpeɪtnt/,n. 专利 v. 获得专利,He applied for a patent for his invention.
134,tear down,/teə daʊn/,拆除；拆毁,They will tear down the old building.
135,bland,/blænd/,adj. 平淡的；乏味的,The food tastes bland.
136,straighten,/ˈstreɪtn/,v. 伸直；整理；纠正,Please straighten your posture.
137,duration,/djuˈreɪʃn/,n. 持续时间；期间,The duration of the course is one month.
138,hire,/ˈhaɪə(r)/,v. 雇佣；租用,We plan to hire a new engineer.
139,strain,/streɪn/,n. 压力；负担 v. 拉紧,Too much work causes mental strain.
140,hereinafter,/ˌhɪərɪnˈɑːftə(r)/,adv. 以下；在下文,The rules are hereinafter explained.
141,stare,/steə(r)/,v. 盯着看；凝视,Don’t stare at strangers.
142,regard,/rɪˈɡɑːd/,v. 认为；看待 n. 尊重,I regard him as my best friend.
143,suspend,/səˈspend/,v. 暂停；悬挂,They decided to suspend the project.
144,cordless,/ˈkɔːdləs/,adj. 无线的,He bought a cordless phone.
145,pave the way for,/peɪv ðə weɪ fɔː(r)/,为……铺平道路,This agreement paves the way for cooperation.
146,improvement,/ɪmˈpruːvmənt/,n. 改进；改善,There is still room for improvement.
147,senator,/ˈsenətə(r)/,n. 参议员,The senator gave a speech.
148,erode,/ɪˈrəʊd/,v. 侵蚀；削弱,Time can erode even hard rocks.
149,material,/məˈtɪəriəl/,n. 材料；原料 adj. 物质的,Wood is a useful building material.
150,command,/kəˈmɑːnd/,n./v. 命令；指挥；掌握,He has a good command of English.
151,identify,/aɪˈdentɪfaɪ/,v. 识别；确认；认同,Please identify the correct answer.
152,insurance,/ɪnˈʃʊərəns/,n. 保险,He bought health insurance.
153,count on,/kaʊnt ɒn/,依靠；指望,You can count on my help.
154,assembly line,/əˈsembli laɪn/,n. 流水线；装配线,Cars are made on an assembly line.
155,logic,/ˈlɒdʒɪk/,n. 逻辑；逻辑学,His argument lacks logic.
156,obtain,/əbˈteɪn/,v. 获得；得到,He obtained a master’s degree.
157,in contrast to,/ɪn ˈkɒntrɑːst tuː/,与……形成对比,"In contrast to her brother, she is quiet."
158,mutual,/ˈmjuːtʃuəl/,adj. 相互的；共同的,They have mutual respect.
159,brainstorm,/ˈbreɪnstɔːm/,v./n. 头脑风暴；集思广益,Let’s brainstorm some ideas.
160,itemize,/ˈaɪtəmaɪz/,v. 逐条列出；分项列明,Please itemize your expenses.
161,vicious circle,/ˈvɪʃəs ˈsɜːkl/,n. 恶性循环,Poverty creates a vicious circle.
162,send off,/send ɒf/,送别；寄出,We will send off the parcel today.
163,external,/ɪkˈstɜːnl/,adj. 外部的；外面的,The external appearance is nice.
164,safety box,/ˈseɪfti bɒks/,n. 保险箱,He keeps valuables in a safety box.
165,quarter,/ˈkwɔːtə(r)/,n. 四分之一；季度,The first quarter results are good.
166,willingly,/ˈwɪlɪŋli/,adv. 愿意地；乐意地,He willingly helped the old man.
167,make up for,/meɪk ʌp fɔː(r)/,弥补；补偿,Hard work can make up for lack of talent.
168,earnings,/ˈɜːnɪŋz/,n. 收入；收益,His monthly earnings are satisfactory.
169,itinerary,/aɪˈtɪnərəri/,n. 行程；旅行计划,Here is your travel itinerary.
170,run out,/rʌn aʊt/,用完；耗尽,Our time is running out.
171,proposal,/prəˈpəʊzl/,n. 提议；建议；提案,He presented a business proposal.
172,manual,/ˈmænjuəl/,adj. 手工的 n. 手册,Read the manual before use.
173,relate,/rɪˈleɪt/,v. 联系；使相关；讲述,I can’t relate to this story.
174,overtime,/ˈəʊvətaɪm/,n./adv. 加班；加班时间,He often works overtime.
175,destination,/ˌdestɪˈneɪʃn/,n. 目的地；终点,We reached our destination safely.
176,be ashamed of,/bi əˈʃeɪmd ɒv/,为……感到羞愧,You should not be ashamed of your mistakes.
177,emerge,/ɪˈmɜːdʒ/,v. 出现；浮现,New problems emerge every day.
178,identity,/aɪˈdentəti/,n. 身份；特征,Please prove your identity.
179,optimize,/ˈɒptɪmaɪz/,v. 优化；使最优化,We need to optimize our process.
180,question,/ˈkwestʃən/,n. 问题 v. 质疑,May I ask you a question?
181,insert,/ɪnˈsɜːt/,v. 插入；嵌入,Insert the key into the lock.
182,encase,/ɪnˈkeɪs/,v. 包住；围住；把……装入箱内,The machine is encased in plastic.
183,union,/ˈjuːniən/,n. 工会；联合；联盟,He joined the labor union.
184,promising,/ˈprɒmɪsɪŋ/,adj. 有希望的；有前途的,She is a promising young artist.
185,amend,/əˈmend/,v. 修改；修正；改进,They decided to amend the contract.
186,damage,/ˈdæmɪdʒ/,n./v. 损害；损坏,The storm caused great damage.
187,survey,/ˈsɜːveɪ/ /səˈveɪ/,n. 调查 v. 调查；勘测,We conducted a public opinion survey.
188,dumping,/ˈdʌmpɪŋ/,n. 倾销；倾倒,The country banned illegal dumping.
189,sustainable,/səˈsteɪnəbl/,adj. 可持续的,We support sustainable development.
190,forget,/fəˈɡet/,v. 忘记；忽略,Don’t forget to call me.
191,stagnant,/ˈstæɡnənt/,adj. 停滞的；不景气的,The economy remained stagnant.
192,purchase,/ˈpɜːtʃəs/,v./n. 购买；采购,He decided to purchase a new car.
193,engage,/ɪnˈɡeɪdʒ/,v. 参与；从事；聘用,He engages in scientific research.
194,realize,/ˈriːəlaɪz/,v. 意识到；实现,I realize my mistake now.
195,advise,/ədˈvaɪz/,v. 建议；劝告,I advise you to think twice.
196,ethics,/ˈeθɪks/,n. 道德规范；伦理学,Medical ethics is very important.
197,apply,/əˈplaɪ/,v. 申请；应用,You can apply for the job online.
198,propose,/prəˈpəʊz/,v. 提议；建议；求婚,He proposed a new plan.
199,appropriate,/əˈprəʊpriət/,adj. 适当的；恰当的,Please choose the appropriate answer.
200,overload,/ˌəʊvəˈləʊd/,v./n. 超载；超负荷,Don’t overload the electrical circuit.
201,vital,/ˈvaɪtl/,adj. 至关重要的；生死攸关的,Water is vital to life.
202,abruptly,/əˈbrʌptli/,adv. 突然地；唐突地,He stopped speaking abruptly.
203,petroleum,/pəˈtrəʊliəm/,n. 石油,Many countries export petroleum.
204,cabinet,/ˈkæbɪnət/,n. 橱柜；内阁,Put the dishes in the cabinet.
205,assembly planned,/əˈsembli plænd/,计划装配；预定组装,The assembly planned date is next week.
206,solution,/səˈluːʃn/,n. 解决方案；解答,We found a perfect solution.
207,profile,/ˈprəʊfaɪl/,n. 概况；简介；侧面轮廓,Please update your personal profile.
208,branch,/brɑːntʃ/,n. 分支；分部；树枝,This is a local branch of the bank.
209,employ,/ɪmˈplɔɪ/,v. 雇佣；使用,The company employs over 100 people.
210,cover,/ˈkʌvə(r)/,v. 覆盖；包括；支付,The insurance will cover the cost.
211,detailed,/ˈdiːteɪld/,adj. 详细的,Please give a detailed description.
212,grand,/ɡrænd/,adj. 宏伟的；盛大的,We held a grand opening ceremony.
213,separate,/ˈseprət/ /ˈsepəreɪt/,adj. 分开的 v. 分离,Keep them separate from each other.
214,hike,/haɪk/,n./v. 远足；涨价,We went on a hike in the mountains.
215,runner-up,/ˈrʌnə ʌp/,n. 亚军；第二名,She was the runner-up in the contest.
216,erase,/ɪˈreɪz/,v. 擦除；抹去,Please erase the wrong answer.
217,come to a close,/kʌm tuː ə kləʊz/,结束；临近尾声,The meeting will come to a close soon.
218,department,/dɪˈpɑːtmənt/,n. 部门；系,He works in the sales department.
219,infect,/ɪnˈfekt/,v. 感染；传染,The virus can infect humans.
220,outstanding,/aʊtˈstændɪŋ/,adj. 杰出的；未支付的,She is an outstanding student.
221,disgust,/dɪsˈɡʌst/,n./v. 厌恶；使反感,The smell filled me with disgust.
222,tighten,/ˈtaɪtn/,v. 拧紧；加强,We need to tighten security measures.
223,figure,/ˈfɪɡə(r)/,n. 数字；人物 v. 认为,The figure is higher than expected.
224,spoil,/spɔɪl/,v. 损坏；溺爱；变质,Don’t spoil the children too much.
225,novice,/ˈnɒvɪs/,n. 新手；初学者,He is a novice at playing the guitar.
226,top-quality,/ˌtɒp ˈkwɒləti/,adj. 高品质的,We sell top-quality products.
227,frequent,/ˈfriːkwənt/,adj. 频繁的,He is a frequent visitor here.
228,be used to,/bi juːst tuː/,习惯于,I am used to getting up early.
229,delinquent,/dɪˈlɪŋkwənt/,adj. 拖欠的；有过失的,He is delinquent on his payments.
230,precede,/prɪˈsiːd/,v. 在……之前；先于,A ceremony precedes the meeting.
231,crash,/kræʃ/,v./n. 碰撞；崩溃,The computer crashed suddenly.
232,abstain,/əbˈsteɪn/,v. 弃权；戒除,Voters may abstain from voting.
233,subway,/ˈsʌbweɪ/,n. 地铁,I go to work by subway.
234,unconventional,/ˌʌnkənˈvenʃənl/,adj. 非传统的；另类的,He has an unconventional lifestyle.
235,transform,/trænsˈfɔːm/,v. 使改变形态；使改观,The project will transform the city.
236,ultimately,/ˈʌltɪmətli/,adv. 最终；归根结底,"Ultimately, we decided to agree."
237,temperature,/ˈtemprətʃə(r)/,n. 温度,The temperature dropped last night.
238,current,/ˈkʌrənt/,adj. 当前的；流通的 n. 电流,What is your current address?
239,talented,/ˈtæləntɪd/,adj. 有才能的；天才的,She is a talented musician.
240,on the verge of,/ɒn ðə vɜːdʒ ɒv/,濒临；即将,He was on the verge of tears.
241,dessert,/dɪˈzɜːt/,n. 甜点；甜食,Would you like some dessert?
242,administrative,/ədˈmɪnɪstrətɪv/,adj. 管理的；行政的,He has administrative duties.
243,drugstore,/ˈdrʌɡstɔː(r)/,n. 药店；杂货店,I bought medicine at the drugstore.
244,undertake,/ˌʌndəˈteɪk/,v. 承担；从事；承诺,We will undertake the project.
245,appendix,/əˈpendɪks/,n. 附录；阑尾,See the appendix for details.
246,manufacture,/ˌmænjuˈfæktʃə(r)/,v. 制造；生产 n. 制造业,They manufacture cars in this factory.
247,thunderstorm,/ˈθʌndəstɔːm/,n. 雷雨；雷暴雨,A heavy thunderstorm is coming.
248,urban,/ˈɜːbən/,adj. 城市的,This is an urban development plan.
249,durable,/ˈdjʊərəbl/,adj. 耐用的；持久的,This material is very durable.
250,recognize,/ˈrekəɡnaɪz/,v. 认出；承认；认可,I didn’t recognize you at first.
251,meanwhile,/ˈmiːnwaɪl/,adv. 同时；在此期间,"I was studying; meanwhile, he slept."
252,collide,/kəˈlaɪd/,v. 碰撞；冲突,The two cars collided at the crossroads.
253,be curious about,/bi ˈkjʊəriəs əˈbaʊt/,对……好奇,Children are curious about everything.
254,prospectus,/prəˈspektəs/,n. 招股说明书；简章,Please read the school prospectus.
255,turmoil,/ˈtɜːmɔɪl/,n. 混乱；动荡,The country was in political turmoil.
256,via,/ˈvaɪə/,prep. 通过；经由,Send the message via email.
257,massage,/ˈmæsɑːʒ/,n./v. 按摩,She gave me a relaxing massage.
258,downturn,/ˈdaʊntɜːn/,n. 衰退；低迷时期,The economy faced a downturn.
259,versatile,/ˈvɜːsətaɪl/,adj. 多才多艺的；多功能的,He is a versatile actor.
260,receipt,/rɪˈsiːt/,n. 收据；收到,Please keep your payment receipt.
261,proceed,/prəˈsiːd/,v. 继续进行；着手,Please proceed with your plan.
262,economy,/ɪˈkɒnəmi/,n. 经济；节约,The national economy is growing.
263,be willing to,/bi ˈwɪlɪŋ tuː/,愿意,I am willing to help you.
264,slogan,/ˈsləʊɡən/,n. 标语；口号,Our company has a new slogan.
265,hang out,/hæŋ aʊt/,闲逛；出去玩,We often hang out together.
266,stable,/ˈsteɪbl/,adj. 稳定的；稳固的,The market is now stable.
267,cease,/siːs/,v. 停止；终止,They ceased fire immediately.
268,critic,/ˈkrɪtɪk/,n. 批评家；评论家,The play received good reviews from critics.
269,division,/dɪˈvɪʒn/,n. 分开；部门；除法,He leads the research division.
270,unwavering,/ʌnˈweɪvərɪŋ/,adj. 坚定的；不动摇的,She has unwavering faith in him.
271,lumber,/ˈlʌmbə(r)/,n. 木材；木料 v. 笨重地行走,They sell building lumber.
272,random,/ˈrændəm/,adj. 随机的；随意的,The selection was completely random.
273,unreliable,/ˌʌnrɪˈlaɪəbl/,adj. 不可靠的,He is an unreliable person.
274,pick pocket,/pɪk ˈpɒkɪt/,n. 扒手,Be careful of pick pockets on the bus.
275,undergraduate,/ˌʌndəˈɡrædʒuət/,n. 本科生,He is an undergraduate at Harvard.
276,innovative,/ˈɪnəveɪtɪv/,adj. 创新的；革新的,This is an innovative technology.
277,gap,/ɡæp/,n. 缺口；差距；间隔,There is a generation gap between them.
278,job title,/dʒɒb ˈtaɪtl/,n. 职位名称；职称,What is your job title?
279,complimentary,/ˌkɒmplɪˈmentri/,adj. 免费的；赞美的,We offer complimentary breakfast.
280,experience,/ɪkˈspɪəriəns/,n. 经验；经历 v. 体验,She has rich work experience.
281,disallow,/ˌdɪsəˈlaʊ/,v. 不允许；驳回,The judge disallowed the appeal.
282,exceptional,/ɪkˈsepʃənl/,adj. 杰出的；例外的,He showed exceptional talent.
283,bankrupt,/ˈbæŋkrʌpt/,adj. 破产的 v. 使破产,The company went bankrupt.
284,sector,/ˈsektə(r)/,n. 部门；领域；扇形,He works in the private sector.
285,dominate,/ˈdɒmɪneɪt/,v. 支配；控制；占优势,The company dominates the market.
286,statement,/ˈsteɪtmənt/,n. 声明；陈述；报表,Please issue an official statement.
287,fare,/feə(r)/,n. 车费；票价 v. 进展,The bus fare is very cheap.
288,bundle,/ˈbʌndl/,n. 束；捆 v. 捆绑,He carried a bundle of wood.
289,be bound for,/bi baʊnd fɔː(r)/,开往；前往,The train is bound for Shanghai.
290,market share,/ˈmɑːkɪt ʃeə(r)/,n. 市场份额,Our market share is increasing.
291,testify,/ˈtestɪfaɪ/,v. 作证；证明,Witnesses will testify in court.
292,breakage,/ˈbreɪkɪdʒ/,n. 破损；损坏,The insurance covers breakage.
293,penalize,/ˈpiːnəlaɪz/,v. 处罚；惩罚,They will penalize late arrivals.
294,hand out,/hænd aʊt/,分发；散发,Please hand out the papers.
295,enhance,/ɪnˈhɑːns/,v. 提高；增强；改善,We need to enhance our skills.
296,condition,/kənˈdɪʃn/,n. 条件；状况 v. 制约,The car is in good condition.
297,idle,/ˈaɪdl/,adj. 闲置的；懒惰的 v. 虚度,The machine has been idle for days.
298,vacancy,/ˈveɪkənsi/,n. 空缺；空位,There is a job vacancy in our team.
299,assert,/əˈsɜːt/,v. 断言；维护；坚持,He asserted his innocence.
